Date,Precipitation
1900-08-13,0
1900-08-14,0
1900-08-15,0
1900-08-16,0
1900-08-17,0
1900-08-18,0
1900-08-19,0
1900-08-20,0
1900-08-21,0
1900-08-22,4.3
1900-08-23,0
1900-08-24,0
1900-08-25,3.9
1900-08-26,0
1900-08-27,0
1900-08-28,0
1900-08-29,0
1900-08-30,0
1900-08-31,0.2
1900-09-01,3.9
1900-09-02,6.4
1900-09-03,0
1900-09-04,1.1
1900-09-05,0
1900-09-06,0.2
1900-09-07,0
1900-09-08,0
1900-09-09,0
1900-09-10,0
1900-09-11,0
1900-09-12,0
1900-09-13,0
1900-09-14,0
1900-09-15,0
1900-09-16,0
1900-09-17,0
1900-09-18,0
1900-09-19,0
1900-09-20,0.5
1900-09-21,0
1900-09-22,0
1900-09-23,0
1900-09-24,0
1900-09-25,0
1900-09-26,15.1
1900-09-27,5.6
1900-09-28,1.5
1900-09-29,0.2
1900-09-30,3.1
1900-10-01,0
1900-10-02,0.5
1900-10-03,4.4
1900-10-04,0
1900-10-05,2.1
1900-10-06,2
1900-10-07,0
1900-10-08,0.8
1900-10-09,0.5
1900-10-10,0
1900-10-11,0
1900-10-12,0.9
1900-10-13,5.1
1900-10-14,4.9
1900-10-15,0.7
1900-10-16,0.4
1900-10-17,1.7
1900-10-18,10
1900-10-19,7.4
1900-10-20,6.2
1900-10-21,5.1
1900-10-22,1.1
1900-10-23,14.4
1900-10-24,0
1900-10-25,5
1900-10-26,2.8
1900-10-27,5.5
1900-10-28,3.5
1900-10-29,1.9
1900-10-30,0.2
1900-10-31,1.7
1900-11-01,0
1900-11-02,0
1900-11-03,0
1900-11-04,1.6
1900-11-05,3.8
1900-11-06,1.1
1900-11-07,0
1900-11-08,0.8
1900-11-09,0
1900-11-10,1.3
1900-11-11,14.6
1900-11-12,0.3
1900-11-13,0
1900-11-14,1.2
1900-11-15,5.9
1900-11-16,0.1
1900-11-17,0.6
1900-11-18,0
1900-11-19,0
1900-11-20,0
1900-11-21,1.8
1900-11-22,0.6
1900-11-23,0.3
1900-11-24,1.4
1900-11-25,0.4
1900-11-26,0
1900-11-27,1
1900-11-28,13.5
1900-11-29,0
1900-11-30,0
1900-12-01,0
1900-12-02,0.4
1900-12-03,1.6
1900-12-04,0.5
1900-12-05,0.9
1900-12-06,0.7
1900-12-07,0
1900-12-08,2.4
1900-12-09,0
1900-12-10,0
1900-12-11,5.2
1900-12-12,0
1900-12-13,3.4
1900-12-14,0.2
1900-12-15,3.8
1900-12-16,0
1900-12-17,0.2
1900-12-18,0
1900-12-19,0.5
1900-12-20,1
1900-12-21,1.1
1900-12-22,0
1900-12-23,0
1900-12-24,0
1900-12-25,9.9
1900-12-26,11.4
1900-12-27,0.3
1900-12-28,1.6
1900-12-29,0.5
1900-12-30,0.1
1900-12-31,0.2
1901-01-01,0
1901-01-02,0
1901-01-03,0.3
1901-01-04,0.1
1901-01-05,0
1901-01-06,0
1901-01-07,0.2
1901-01-08,0
1901-01-09,0
1901-01-10,0
1901-01-11,0.1
1901-01-12,0
1901-01-13,0
1901-01-14,0.5
1901-01-15,0
1901-01-16,0.2
1901-01-17,0
1901-01-18,0
1901-01-19,1.2
1901-01-20,9.1
1901-01-21,1.3
1901-01-22,0
1901-01-23,0
1901-01-24,0
1901-01-25,0.1
1901-01-26,0
1901-01-27,0.1
1901-01-28,1.9
1901-01-29,0
1901-01-30,0.2
1901-01-31,0.4
1901-02-01,3.5
1901-02-02,0
1901-02-03,0.1
1901-02-04,0.5
1901-02-05,0.4
1901-02-06,0
1901-02-07,0
1901-02-08,0
1901-02-09,2.1
1901-02-10,0.2
1901-02-11,0
1901-02-12,3.5
1901-02-13,0
1901-02-14,0
1901-02-15,0
1901-02-16,0.1
1901-02-17,0.1
1901-02-18,0.1
1901-02-19,0.1
1901-02-20,0
1901-02-21,0
1901-02-22,5.6
1901-02-23,1.2
1901-02-24,0
1901-02-25,0
1901-02-26,2.8
1901-02-27,0.7
1901-02-28,0.3
1901-03-01,0
1901-03-02,0
1901-03-03,0.3
1901-03-04,1.7
1901-03-05,0
1901-03-06,1.4
1901-03-07,0.2
1901-03-08,0
1901-03-09,0
1901-03-10,0
1901-03-11,0
1901-03-12,0
1901-03-13,0
1901-03-14,0
1901-03-15,0.3
1901-03-16,0.1
1901-03-17,0.3
1901-03-18,0
1901-03-19,0
1901-03-20,0
1901-03-21,0
1901-03-22,0
1901-03-23,0
1901-03-24,4.1
1901-03-25,0
1901-03-26,0
1901-03-27,0
1901-03-28,0
1901-03-29,0.1
1901-03-30,0
1901-03-31,13.5
1901-04-01,4.9
1901-04-02,0
1901-04-03,3.6
1901-04-04,10.1
1901-04-05,0
1901-04-06,1.1
1901-04-07,0
1901-04-08,4.8
1901-04-09,4.5
1901-04-10,0
1901-04-11,0.1
1901-04-12,0.9
1901-04-13,0
1901-04-14,0
1901-04-15,1.4
1901-04-16,3.6
1901-04-17,2.1
1901-04-18,0
1901-04-19,0
1901-04-20,0
1901-04-21,0
1901-04-22,0
1901-04-23,0
1901-04-24,0
1901-04-25,0
1901-04-26,0
1901-04-27,0
1901-04-28,0
1901-04-29,0
1901-04-30,0
1901-05-01,0
1901-05-02,0
1901-05-03,0
1901-05-04,0
1901-05-05,0
1901-05-06,0
1901-05-07,0
1901-05-08,0
1901-05-09,0
1901-05-10,0
1901-05-11,0
1901-05-12,0
1901-05-13,0
1901-05-14,0
1901-05-15,0
1901-05-16,1.5
1901-05-17,3.2
1901-05-18,0.5
1901-05-19,1.3
1901-05-20,0
1901-05-21,0
1901-05-22,0
1901-05-23,0
1901-05-24,0
1901-05-25,4
1901-05-26,0
1901-05-27,0
1901-05-28,0.5
1901-05-29,0
1901-05-30,0
1901-05-31,0.5
1901-06-01,0
1901-06-02,5
1901-06-03,0
1901-06-04,0
1901-06-05,0
1901-06-06,0
1901-06-07,0.4
1901-06-08,0
1901-06-09,0.3
1901-06-10,1
1901-06-11,9.3
1901-06-12,2.4
1901-06-13,0.2
1901-06-14,0
1901-06-15,0.9
1901-06-16,0
1901-06-17,0
1901-06-18,0.3
1901-06-19,2.6
1901-06-20,0
1901-06-21,0
1901-06-22,0
1901-06-23,0
1901-06-24,0
1901-06-25,0
1901-06-26,11.1
1901-06-27,1.5
1901-06-28,0
1901-06-29,0
1901-06-30,0.3
1901-07-01,0
1901-07-02,0
1901-07-03,0
1901-07-04,0
1901-07-05,0
1901-07-06,0
1901-07-07,0
1901-07-08,0
1901-07-09,0
1901-07-10,0
1901-07-11,0
1901-07-12,0
1901-07-13,0
1901-07-14,0
1901-07-15,0
1901-07-16,0.9
1901-07-17,0
1901-07-18,0
1901-07-19,0
1901-07-20,0
1901-07-21,0
1901-07-22,0
1901-07-23,0
1901-07-24,0
1901-07-25,0
1901-07-26,3.9
1901-07-27,0
1901-07-28,0
1901-07-29,0.6
1901-07-30,0
1901-07-31,0
1901-08-01,0
1901-08-02,0
1901-08-03,0
1901-08-04,3.4
1901-08-05,0
1901-08-06,0
1901-08-07,1.5
1901-08-08,1.6
1901-08-09,0
1901-08-10,0
1901-08-11,0
1901-08-12,0
1901-08-13,0
1901-08-14,0
1901-08-15,1.7
1901-08-16,0
1901-08-17,1.3
1901-08-18,0
1901-08-19,0.5
1901-08-20,0
1901-08-21,0
1901-08-22,0
1901-08-23,0.6
1901-08-24,0
1901-08-25,0
1901-08-26,0
1901-08-27,4.6
1901-08-28,0
1901-08-29,1.1
1901-08-30,0.1
1901-08-31,6.8
1901-09-01,5.4
1901-09-02,5.6
1901-09-03,9.9
1901-09-04,0.2
1901-09-05,1.9
1901-09-06,0
1901-09-07,0
1901-09-08,0
1901-09-09,0
1901-09-10,0
1901-09-11,0
1901-09-12,0
1901-09-13,0
1901-09-14,5.2
1901-09-15,2.7
1901-09-16,4.3
1901-09-17,0.3
1901-09-18,0
1901-09-19,0
1901-09-20,0
1901-09-21,0
1901-09-22,0.1
1901-09-23,0.1
1901-09-24,0.1
1901-09-25,0
1901-09-26,0
1901-09-27,0
1901-09-28,0
1901-09-29,0
1901-09-30,0
1901-10-01,0
1901-10-02,0
1901-10-03,0
1901-10-04,0
1901-10-05,20.6
1901-10-06,0.1
1901-10-07,26.4
1901-10-08,8.4
1901-10-09,0.3
1901-10-10,0.2
1901-10-11,0.1
1901-10-12,0.1
1901-10-13,0.1
1901-10-14,1.2
1901-10-15,0.8
1901-10-16,0.3
1901-10-17,0.6
1901-10-18,3.2
1901-10-19,0.5
1901-10-20,2
1901-10-21,0
1901-10-22,0
1901-10-23,0
1901-10-24,0.6
1901-10-25,0.1
1901-10-26,0.1
1901-10-27,0.6
1901-10-28,3.3
1901-10-29,2.9
1901-10-30,0
1901-10-31,0
1901-11-01,0
1901-11-02,0
1901-11-03,0
1901-11-04,0.1
1901-11-05,0.3
1901-11-06,0.3
1901-11-07,0
1901-11-08,1.4
1901-11-09,0
1901-11-10,0
1901-11-11,0
1901-11-12,2.4
1901-11-13,0
1901-11-14,6.9
1901-11-15,1.8
1901-11-16,0
1901-11-17,0
1901-11-18,0
1901-11-19,7.3
1901-11-20,0
1901-11-21,0.1
1901-11-22,1.1
1901-11-23,0
1901-11-24,0
1901-11-25,0.4
1901-11-26,0.2
1901-11-27,0
1901-11-28,0
1901-11-29,0
1901-11-30,4.6
1901-12-01,2.2
1901-12-02,4.4
1901-12-03,1.7
1901-12-04,0
1901-12-05,0
1901-12-06,0
1901-12-07,4
1901-12-08,0
1901-12-09,2.6
1901-12-10,0.9
1901-12-11,1.6
1901-12-12,0
1901-12-13,0.5
1901-12-14,0
1901-12-15,2.7
1901-12-16,0.3
1901-12-17,0
1901-12-18,0.6
1901-12-19,1.3
1901-12-20,0.6
1901-12-21,2.1
1901-12-22,0
1901-12-23,0
1901-12-24,0
1901-12-25,5.8
1901-12-26,14.4
1901-12-27,0
1901-12-28,0.9
1901-12-29,0.4
1901-12-30,1.2
1901-12-31,3.8
1902-01-01,1.1
1902-01-02,0
1902-01-03,5.3
1902-01-04,0.2
1902-01-05,0
1902-01-06,6.5
1902-01-07,0
1902-01-08,0
1902-01-09,3.3
1902-01-10,0
1902-01-11,0
1902-01-12,0.1
1902-01-13,0.4
1902-01-14,0.2
1902-01-15,3.3
1902-01-16,0
1902-01-17,1.5
1902-01-18,0.1
1902-01-19,3.2
1902-01-20,0
1902-01-21,0
1902-01-22,0
1902-01-23,0
1902-01-24,0
1902-01-25,2.7
1902-01-26,0.1
1902-01-27,0
1902-01-28,0
1902-01-29,0
1902-01-30,0
1902-01-31,0
1902-02-01,0.3
1902-02-02,0
1902-02-03,0
1902-02-04,0.1
1902-02-05,0.5
1902-02-06,0.8
1902-02-07,0.4
1902-02-08,0.1
1902-02-09,0.3
1902-02-10,4.5
1902-02-11,1.8
1902-02-12,0
1902-02-13,0
1902-02-14,0
1902-02-15,0
1902-02-16,0
1902-02-17,0
1902-02-18,0
1902-02-19,0
1902-02-20,0.1
1902-02-21,0
1902-02-22,0
1902-02-23,0
1902-02-24,0
1902-02-25,0
1902-02-26,1
1902-02-27,3.2
1902-02-28,4.9
1902-03-01,2.9
1902-03-02,0.2
1902-03-03,0.3
1902-03-04,4.9
1902-03-05,2.3
1902-03-06,0
1902-03-07,0.2
1902-03-08,0.5
1902-03-09,0.1
1902-03-10,0
1902-03-11,0
1902-03-12,0
1902-03-13,0
1902-03-14,0
1902-03-15,0
1902-03-16,1.1
1902-03-17,0
1902-03-18,0.9
1902-03-19,1
1902-03-20,7.6
1902-03-21,1.1
1902-03-22,0.2
1902-03-23,3.3
1902-03-24,0.6
1902-03-25,13.6
1902-03-26,0
1902-03-27,0.5
1902-03-28,0
1902-03-29,0.1
1902-03-30,0
1902-03-31,0
1902-04-01,0
1902-04-02,0
1902-04-03,0
1902-04-04,0
1902-04-05,0
1902-04-06,0.1
1902-04-07,0.1
1902-04-08,0
1902-04-09,2.2
1902-04-10,0.3
1902-04-11,0
1902-04-12,0
1902-04-13,0
1902-04-14,0
1902-04-15,0
1902-04-16,0
1902-04-17,0
1902-04-18,0.3
1902-04-19,0
1902-04-20,0
1902-04-21,0.1
1902-04-22,0
1902-04-23,0
1902-04-24,0
1902-04-25,0
1902-04-26,0
1902-04-27,0
1902-04-28,0
1902-04-29,0
1902-04-30,0
1902-05-01,0.7
1902-05-02,0
1902-05-03,0
1902-05-04,4.9
1902-05-05,4.2
1902-05-06,1.5
1902-05-07,0
1902-05-08,2.3
1902-05-09,0.2
1902-05-10,0.2
1902-05-11,0
1902-05-12,0
1902-05-13,2.2
1902-05-14,2.2
1902-05-15,0
1902-05-16,0
1902-05-17,1.7
1902-05-18,2.8
1902-05-19,4
1902-05-20,0
1902-05-21,0
1902-05-22,0
1902-05-23,0
1902-05-24,0
1902-05-25,0
1902-05-26,0
1902-05-27,0.2
1902-05-28,0
1902-05-29,0
1902-05-30,2.2
1902-05-31,2.1
1902-06-01,1.4
1902-06-02,0
1902-06-03,0
1902-06-04,0
1902-06-05,0.1
1902-06-06,8.3
1902-06-07,0
1902-06-08,1.7
1902-06-09,11.6
1902-06-10,1.4
1902-06-11,3.7
1902-06-12,0
1902-06-13,0
1902-06-14,0
1902-06-15,0
1902-06-16,2.8
1902-06-17,0
1902-06-18,0
1902-06-19,0
1902-06-20,0.1
1902-06-21,5.4
1902-06-22,4.1
1902-06-23,11.4
1902-06-24,0
1902-06-25,0
1902-06-26,0
1902-06-27,0
1902-06-28,0
1902-06-29,0
1902-06-30,0
1902-07-01,4.7
1902-07-02,0
1902-07-03,0
1902-07-04,5.7
1902-07-05,1.4
1902-07-06,0
1902-07-07,1.5
1902-07-08,1.1
1902-07-09,0
1902-07-10,1.3
1902-07-11,14.3
1902-07-12,1.3
1902-07-13,12.4
1902-07-14,0.4
1902-07-15,0
1902-07-16,0
1902-07-17,0
1902-07-18,0
1902-07-19,1
1902-07-20,1.1
1902-07-21,0.7
1902-07-22,0
1902-07-23,0
1902-07-24,4.3
1902-07-25,0.1
1902-07-26,0
1902-07-27,13.7
1902-07-28,2.4
1902-07-29,0.6
1902-07-30,1.1
1902-07-31,6.2
1902-08-01,0
1902-08-02,0
1902-08-03,4.4
1902-08-04,0.8
1902-08-05,11.8
1902-08-06,1.8
1902-08-07,2.2
1902-08-08,1.6
1902-08-09,7.3
1902-08-10,1.3
1902-08-11,6.2
1902-08-12,0.6
1902-08-13,4.8
1902-08-14,4.6
1902-08-15,4.2
1902-08-16,0
1902-08-17,0
1902-08-18,0
1902-08-19,8.3
1902-08-20,0
1902-08-21,0.1
1902-08-22,0
1902-08-23,0
1902-08-24,0.8
1902-08-25,11.1
1902-08-26,0
1902-08-27,2.3
1902-08-28,1.6
1902-08-29,20.9
1902-08-30,4.5
1902-08-31,7.8
1902-09-01,0
1902-09-02,0
1902-09-03,3.8
1902-09-04,0.3
1902-09-05,0.7
1902-09-06,0.2
1902-09-07,0.2
1902-09-08,0
1902-09-09,0
1902-09-10,0
1902-09-11,2.6
1902-09-12,7.3
1902-09-13,4.2
1902-09-14,0.8
1902-09-15,3.3
1902-09-16,3.9
1902-09-17,0.8
1902-09-18,1.1
1902-09-19,0
1902-09-20,0
1902-09-21,0
1902-09-22,0
1902-09-23,0
1902-09-24,0
1902-09-25,0
1902-09-26,6.5
1902-09-27,0.2
1902-09-28,0
1902-09-29,0.3
1902-09-30,0.3
1902-10-01,0
1902-10-02,0
1902-10-03,0.3
1902-10-04,0
1902-10-05,0
1902-10-06,0
1902-10-07,0
1902-10-08,0
1902-10-09,0
1902-10-10,16.6
1902-10-11,0
1902-10-12,0
1902-10-13,3.3
1902-10-14,6.1
1902-10-15,0.8
1902-10-16,15.1
1902-10-17,2.6
1902-10-18,0
1902-10-19,0
1902-10-20,0
1902-10-21,6.2
1902-10-22,1.4
1902-10-23,0.5
1902-10-24,3.1
1902-10-25,0
1902-10-26,0
1902-10-27,0
1902-10-28,0.3
1902-10-29,0
1902-10-30,5.5
1902-10-31,0.2
1902-11-01,2.9
1902-11-02,0
1902-11-03,4.8
1902-11-04,0
1902-11-05,0
1902-11-06,0
1902-11-07,0
1902-11-08,0
1902-11-09,2.2
1902-11-10,2.6
1902-11-11,0
1902-11-12,1.1
1902-11-13,0.4
1902-11-14,0
1902-11-15,0
1902-11-16,0
1902-11-17,0
1902-11-18,0
1902-11-19,0
1902-11-20,0
1902-11-21,0
1902-11-22,0
1902-11-23,0.1
1902-11-24,1.2
1902-11-25,0
1902-11-26,0.5
1902-11-27,3.7
1902-11-28,1.2
1902-11-29,0.7
1902-11-30,6.1
1902-12-01,1.3
1902-12-02,0.3
1902-12-03,0.3
1902-12-04,0
1902-12-05,0
1902-12-06,0
1902-12-07,0
1902-12-08,0
1902-12-09,0
1902-12-10,0
1902-12-11,0
1902-12-12,0.2
1902-12-13,0.1
1902-12-14,0.4
1902-12-15,0.4
1902-12-16,1.2
1902-12-17,4.5
1902-12-18,0
1902-12-19,0
1902-12-20,1.1
1902-12-21,0
1902-12-22,0
1902-12-23,0
1902-12-24,0.9
1902-12-25,16.8
1902-12-26,0
1902-12-27,0
1902-12-28,9.4
1902-12-29,1.3
1902-12-30,0.6
1902-12-31,0
1903-01-01,0
1903-01-02,0.1
1903-01-03,1.1
1903-01-04,6.5
1903-01-05,0.7
1903-01-06,4.5
1903-01-07,5.3
1903-01-08,1.9
1903-01-09,0.2
1903-01-10,8.4
1903-01-11,7.2
1903-01-12,0
1903-01-13,0
1903-01-14,0
1903-01-15,0
1903-01-16,0.3
1903-01-17,0
1903-01-18,0
1903-01-19,0.2
1903-01-20,0.2
1903-01-21,0.2
1903-01-22,0.2
1903-01-23,3.6
1903-01-24,1.9
1903-01-25,2.3
1903-01-26,0.1
1903-01-27,0.2
1903-01-28,0
1903-01-29,0
1903-01-30,0
1903-01-31,0.2
1903-02-01,0
1903-02-02,0.5
1903-02-03,0
1903-02-04,1.1
1903-02-05,0
1903-02-06,0.1
1903-02-07,2.7
1903-02-08,0
1903-02-09,0
1903-02-10,0.2
1903-02-11,0
1903-02-12,0.1
1903-02-13,0
1903-02-14,0
1903-02-15,1.9
1903-02-16,0
1903-02-17,0
1903-02-18,0.2
1903-02-19,0
1903-02-20,0.3
1903-02-21,0
1903-02-22,0
1903-02-23,10.5
1903-02-24,0.9
1903-02-25,2.1
1903-02-26,2.3
1903-02-27,3.1
1903-02-28,0.1
1903-03-01,0
1903-03-02,0
1903-03-03,0
1903-03-04,1.4
1903-03-05,0.1
1903-03-06,0.1
1903-03-07,0
1903-03-08,0
1903-03-09,0
1903-03-10,0
1903-03-11,0
1903-03-12,0
1903-03-13,0
1903-03-14,0.4
1903-03-15,0.2
1903-03-16,0
1903-03-17,0
1903-03-18,3.4
1903-03-19,0.5
1903-03-20,1.6
1903-03-21,0.9
1903-03-22,0
1903-03-23,0
1903-03-24,0.9
1903-03-25,0.5
1903-03-26,0
1903-03-27,3.1
1903-03-28,1.9
1903-03-29,0
1903-03-30,0.4
1903-03-31,8.4
1903-04-01,0.4
1903-04-02,0.1
1903-04-03,1.5
1903-04-04,4.4
1903-04-05,5.5
1903-04-06,0.5
1903-04-07,1.7
1903-04-08,0.3
1903-04-09,0
1903-04-10,0
1903-04-11,0.2
1903-04-12,1.9
1903-04-13,0
1903-04-14,0.2
1903-04-15,0.3
1903-04-16,6.3
1903-04-17,0
1903-04-18,0
1903-04-19,18.8
1903-04-20,2.1
1903-04-21,0.6
1903-04-22,3.6
1903-04-23,5.8
1903-04-24,0.2
1903-04-25,0
1903-04-26,0
1903-04-27,0.5
1903-04-28,0.8
1903-04-29,0.3
1903-04-30,0.2
1903-05-01,0
1903-05-02,0
1903-05-03,0
1903-05-04,0.7
1903-05-05,8.3
1903-05-06,10.8
1903-05-07,0.9
1903-05-08,2.4
1903-05-09,0
1903-05-10,0
1903-05-11,0
1903-05-12,4.8
1903-05-13,1.9
1903-05-14,1.9
1903-05-15,0
1903-05-16,0
1903-05-17,3.5
1903-05-18,7.7
1903-05-19,0
1903-05-20,0.9
1903-05-21,0
1903-05-22,0
1903-05-23,0
1903-05-24,0
1903-05-25,0
1903-05-26,0
1903-05-27,0
1903-05-28,0
1903-05-29,0
1903-05-30,2.6
1903-05-31,4.9
1903-06-01,0
1903-06-02,6
1903-06-03,0
1903-06-04,0
1903-06-05,0
1903-06-06,0
1903-06-07,0
1903-06-08,0
1903-06-09,0
1903-06-10,6.2
1903-06-11,5
1903-06-12,0
1903-06-13,0
1903-06-14,0
1903-06-15,0
1903-06-16,0
1903-06-17,0
1903-06-18,6.3
1903-06-19,2.2
1903-06-20,26.3
1903-06-21,15.4
1903-06-22,0
1903-06-23,0
1903-06-24,0
1903-06-25,0
1903-06-26,0
1903-06-27,0
1903-06-28,0
1903-06-29,0.9
1903-06-30,0
1903-07-01,0.2
1903-07-02,0
1903-07-03,0.5
1903-07-04,1.7
1903-07-05,1.8
1903-07-06,3.4
1903-07-07,11.2
1903-07-08,0
1903-07-09,0
1903-07-10,0
1903-07-11,0
1903-07-12,1.7
1903-07-13,0
1903-07-14,0
1903-07-15,0.2
1903-07-16,0
1903-07-17,22.3
1903-07-18,25.2
1903-07-19,4.9
1903-07-20,0
1903-07-21,0
1903-07-22,0
1903-07-23,0
1903-07-24,0
1903-07-25,0
1903-07-26,0
1903-07-27,0
1903-07-28,0.4
1903-07-29,12.5
1903-07-30,0.5
1903-07-31,15.4
1903-08-01,0.9
1903-08-02,0
1903-08-03,0
1903-08-04,0.2
1903-08-05,5.3
1903-08-06,1.3
1903-08-07,5.2
1903-08-08,0
1903-08-09,0
1903-08-10,0
1903-08-11,0
1903-08-12,0
1903-08-13,2.7
1903-08-14,1.2
1903-08-15,5.3
1903-08-16,57.5
1903-08-17,10.1
1903-08-18,1.4
1903-08-19,0.2
1903-08-20,0
1903-08-21,13.9
1903-08-22,0
1903-08-23,0
1903-08-24,12.7
1903-08-25,1.8
1903-08-26,3.1
1903-08-27,10.7
1903-08-28,0.2
1903-08-29,0
1903-08-30,0.2
1903-08-31,1.2
1903-09-01,0.2
1903-09-02,0
1903-09-03,0
1903-09-04,0
1903-09-05,0
1903-09-06,2.3
1903-09-07,1
1903-09-08,3.5
1903-09-09,8.8
1903-09-10,4.7
1903-09-11,0.1
1903-09-12,1.6
1903-09-13,0.3
1903-09-14,0
1903-09-15,0
1903-09-16,0
1903-09-17,0
1903-09-18,0
1903-09-19,0
1903-09-20,0
1903-09-21,0
1903-09-22,0
1903-09-23,0
1903-09-24,0
1903-09-25,0.1
1903-09-26,0.1
1903-09-27,0
1903-09-28,0.1
1903-09-29,0
1903-09-30,9.4
1903-10-01,0.1
1903-10-02,19.5
1903-10-03,1.1
1903-10-04,0
1903-10-05,1
1903-10-06,0
1903-10-07,15.7
1903-10-08,0.9
1903-10-09,0
1903-10-10,0
1903-10-11,0.3
1903-10-12,0
1903-10-13,0
1903-10-14,2.2
1903-10-15,14.8
1903-10-16,2.5
1903-10-17,0
1903-10-18,0.6
1903-10-19,0
1903-10-20,0
1903-10-21,0
1903-10-22,3.7
1903-10-23,2.9
1903-10-24,4.5
1903-10-25,0
1903-10-26,0
1903-10-27,0.1
1903-10-28,0.2
1903-10-29,1.3
1903-10-30,0.7
1903-10-31,2.9
1903-11-01,0
1903-11-02,0.2
1903-11-03,0.2
1903-11-04,0
1903-11-05,0.1
1903-11-06,0.6
